seed,split_source,train_valid_count,test_count,rmse,mae,r2,mean_predictive_sd,coverage_90
0,split-json:data/freesolv_wl_system_20_splits.json,577,65,1.320550948700353,0.8025225755943425,0.9195873142864542,0.9374749637805724,0.8461538461538463
1,split-json:data/freesolv_wl_system_20_splits.json,577,65,0.9390763686015813,0.6743321961389042,0.9010658879480625,1.066956229957807,0.9076923076923078
2,split-json:data/freesolv_wl_system_20_splits.json,577,65,0.8196147540326827,0.5702120521393849,0.9300698877090385,1.0988910012549118,0.9076923076923078
3,split-json:data/freesolv_wl_system_20_splits.json,577,65,1.1095965930640013,0.661320100511872,0.9174590339062021,0.8472484321400364,0.8153846153846154
4,split-json:data/freesolv_wl_system_20_splits.json,577,65,0.6950101320074034,0.4582041572843933,0.9601741308531064,0.8229096701993558,0.9076923076923078
5,split-json:data/freesolv_wl_system_20_splits.json,577,65,0.8936208961507681,0.5948536540758991,0.9581479778506813,1.0198149966262353,0.9384615384615385
6,split-json:data/freesolv_wl_system_20_splits.json,577,65,1.1524924906120535,0.6917142336923316,0.935935832880945,1.0414173484766958,0.8769230769230769
7,split-json:data/freesolv_wl_system_20_splits.json,577,65,0.7107958255337089,0.4727075595719631,0.9292238572639345,0.8537283715938679,0.9384615384615385
8,split-json:data/freesolv_wl_system_20_splits.json,577,65,0.9461052548889793,0.6012294646047183,0.9371599952472958,0.9367906428517486,0.9076923076923078
9,split-json:data/freesolv_wl_system_20_splits.json,577,65,0.7853269124815965,0.5277268091759346,0.955786648892099,0.8856822993297939,0.9384615384615385
10,split-json:data/freesolv_wl_system_20_splits.json,577,65,1.0267566498435705,0.608598064187442,0.9389159693280537,0.8386268631303718,0.8923076923076924
11,split-json:data/freesolv_wl_system_20_splits.json,577,65,0.9138330199743485,0.5997664047067206,0.9370175545528361,1.0774325360989374,0.9538461538461539
12,split-json:data/freesolv_wl_system_20_splits.json,577,65,0.9290526550763512,0.6053184332998228,0.9450929597863882,0.9127623257709538,0.9230769230769231
13,split-json:data/freesolv_wl_system_20_splits.json,577,65,0.9178207407906785,0.6374048975948667,0.9574179500932242,0.9622457885086697,0.8923076923076924
14,split-json:data/freesolv_wl_system_20_splits.json,577,65,0.96325131435345,0.644125507595855,0.940993439512682,1.0256412661199663,0.9230769230769231
15,split-json:data/freesolv_wl_system_20_splits.json,577,65,0.796603370666739,0.5373353728175516,0.9400174696287579,1.0080614320751564,0.9384615384615385
16,split-json:data/freesolv_wl_system_20_splits.json,577,65,0.8667303114244376,0.6376461879828356,0.9406645892131783,1.0548313319857499,0.8769230769230769
17,split-json:data/freesolv_wl_system_20_splits.json,577,65,0.6514103914729287,0.4690026618304386,0.9686282328524033,0.9793966434651802,0.9692307692307693
18,split-json:data/freesolv_wl_system_20_splits.json,577,65,0.6509168222983545,0.4084828941194068,0.9602464192496786,0.9947052325392455,0.9538461538461539
19,split-json:data/freesolv_wl_system_20_splits.json,577,65,1.1218064373704162,0.6380839985764926,0.893047250014498,0.8737708862203389,0.8923076923076924
